run_idx	sib_mortality	maternal_age_effect	mat_mortality	attenuation_cutoff	if_epi	if_invasion	k_s	x0_s	L_s	max_age	maternal_age_effect_quadratic_term	maternal_age_effect_vertex_x	epi_h	status	stop_reason	final_year	menopause_age_report	menopause_age_mean	dominant_allele	dominant_allele_frequency
170	1	0	0	0.0	0	False	0.2	5.0	1.1	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.587951464796475	-22	0.10681047599458199
171	1	0	0	0.0	0	False	0.2	5.0	1.5	70	NA	NA	NA	failed	early_stop_failed	4350	>46	46.620356383758086	-23	0.14598724572486543
172	1	0	0	0.0	0	False	0.2	5.0	2.0	70	NA	NA	NA	failed	early_stop_failed	4450	>46	46.91817138149388	-23	0.1285486227587606
173	1	0	0	0.0	0	False	0.2	5.0	3.0	70	NA	NA	NA	failed	early_stop_failed	4750	>46	46.567155831596146	-21	0.1141425359684648
174	1	0	0	0.0	0	False	0.2	5.0	5.0	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.54410313525518	-23	0.13252515315253124
175	1	0	0	0.0	0	False	0.25	3.0	1.1	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.80096644737721	-23	0.14556789296827072
176	1	0	0	0.0	0	False	0.25	3.0	1.5	70	NA	NA	NA	failed	early_stop_failed	5050	>46	46.6778087326743	-22	0.11810332463782762
177	1	0	0	0.0	0	False	0.25	3.0	2.0	70	NA	NA	NA	failed	early_stop_failed	5000	>46	46.95295550571535	-25	0.0982110159763099
178	1	0	0	0.0	0	False	0.25	3.0	3.0	70	NA	NA	NA	failed	early_stop_failed	4450	>46	46.98448309499072	-24	0.09953676185241889
179	1	0	0	0.0	0	False	0.25	3.0	5.0	70	NA	NA	NA	failed	early_stop_failed	4750	>46	46.652474903863165	-23	0.13047944595961164
180	1	0	0	0.0	0	False	0.25	3.5	1.1	70	NA	NA	NA	failed	early_stop_failed	4950	>46	46.465112563518474	-24	0.13022082089486137
181	1	0	0	0.0	0	False	0.25	3.5	1.5	70	NA	NA	NA	failed	early_stop_failed	5200	>46	46.72302191791172	-22	0.1156857913852851
